Cue,LeftStim,RightStim,Reward,Choice,PrevChoice,Difficulty,Movement
0.27499,0.10776,0.089378,0.16327,0.082284,0,0.28232,0
0.18786,0.092798,0.062352,0.53046,0,0,0.12653,0
0,0.0028957,0.19762,0.11954,0.54565,0,0.091609,0.042687
0.25559,0,0.1608,0,0.49059,0,0.08399,0.0090244
0.20929,0.32984,0.18536,0.26706,0,0.0084508,0,0
0,0.42162,0.22868,0.3497,0,0,0,0
0,0,0.092015,0,0.2933,0.46229,0.11841,0.033976
0.057351,0,0,0,0.3742,0.33729,0.23116,0
0.40191,0,0,0.14195,0.091631,0.015344,0.34884,0.00033062
0,0.095638,0,0.31638,0,0.47565,0.11233,0
0,0.058742,0.18744,0.38044,0,0,0.36419,0.0091834
0.15095,0.3368,0.19781,0.11258,0,0,0.20186,0
0.071388,0.034208,0,0.087065,0.11696,0.48945,0.17903,0.021904
0.11345,0.091518,0,0.14934,0,0,0.61677,0.028913
0.48215,0.4001,0.087481,0.00083317,0,0,0,0.029435
0.014006,0,0.029178,0.0034311,0.30805,0.22679,0.40938,0.0091667
0.21649,0,0.10843,0.036635,0.42387,0,0.21457,0
0.39577,0.085787,0,0.51844,0,0,0,0
0.11103,0.041522,0.17699,0.26038,0.22163,0,0.16619,0.022273
0.087869,0.16058,0.21218,0.11769,0,0.15366,0,0.26802
0.21702,0.36913,0.41385,0,0,0,0,0
0.24218,0,0,0.4351,0.19139,0,0.13133,0
0.48515,0.42177,0.022258,0.039524,0.026254,0.0050502,0,0
0.16059,0.11448,0,0.68001,0,0.044929,0,0
0.31144,0.017106,0.086721,0.10975,0.0044087,0.01742,0.45316,0
0.080854,0,0.30699,0.29821,0.17041,0,0.13302,0.01052
0,0.19887,0.078714,0.026195,0.07896,0,0.61527,0.0019955
0.026933,0.61058,0.1226,0.2317,0,0,0,0.0081908
0.13344,0.035386,0.077627,0.12335,0.18889,0,0.44131,0
0.0072274,0.0012504,0.11465,0.37563,0.12382,0,0.36473,0.012689
0.05509,0,0.089984,0.046119,0.55631,0.043723,0.20749,0.0012897
0,0,0,0,0.69742,0.21295,0.0043725,0.085257
0.64053,0.21323,0.072043,0.0041416,0,0.027445,0,0.042619
0.4505,0,0,0.33413,0.21537,0,0,0
0,0.61311,0,0,0,0.38689,0,0
0.28289,0,0,0.31528,0,0.33175,0,0.070085
0.11139,0.094289,0.52193,0.010718,0.26167,0,0,0
0.092707,0,0,0,0.5047,0.070694,0.32527,0.0066206
0,0,0.058952,0.12548,0,0.16576,0.64981,0
0.18212,0.45587,0.12543,0.21157,0,0.010915,0,0.014087
0,0.043049,0.053649,0.0027625,0.36738,0.046227,0.48693,0
0,0.14793,0.067297,0.22228,0,0,0.56112,0.0013708
0.29027,0,0,0.35897,0.034079,0.21579,0.096932,0.0039534
0.34431,0.29749,0,0.27432,0,0,0,0.083892
0.11298,0,0.33212,0,0.23133,0,0.12125,0.20232
0,0,0,0,0,0,1,0
0.056402,0.1317,0.10247,0.57996,0,0,0.11881,0.010655
0.13317,0.25412,0.10198,0.43968,0,0.03021,0,0.040835
0.2295,0.23305,0.13464,0.40058,0,0,0,0.0022294
0.070945,0.01085,0.11003,0.60387,0.19272,0,0,0.011593
